Name,Twitter Handle,Total Tweets,Total Retweets,Total followings,Total Followers,User Id,User Verified,User Location,Date of tweet,Tweet id,Tweet Text,Tweet Retweet Status,Tweet Reply To Id
#TrumpStronger,jopchu22,13516,3,3213,1643,4417130582,False,United States,2016-04-02 21:40:36,716379831466909696,RT @BumperPress #Hillary Witch of Lies Sir Edmund Hillary Sniper fire Benghazi Top secret emails ongoing #realDonaldTrump https//tc,False,
DigitalMedia,iHumanMedia,8474,1,4975,1840,242051004,False,USA,2016-04-02 21:36:56,716378908539666433,Trump change dynamic of race announce now Jon Huntsman as VP the day before Wisconsin primary @ginah89121 @Campaign_Trump #realdonaldtrump,False,3420540252
Nunnya Beeswax,NunnyFB,1386,0,101,10,1537080703,False,,2016-04-02 21:34:01,716378176084029440,If Snidley Whiplash had a son #tedcruz #cruz #CruzCrew #trumptrain #trump2016#realdonaldtrump#trump https//tco/znGT1OChc9,False,
William Lynes MD,wlynesmd,5638,1,9460,10319,177291959,False,Temecula California,2016-04-02 21:30:32,716377300598726657,For all medical mysteries check out the best source https//tco/bjW50S4miH #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:29:53,716377134529437697,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/AOz18ZV8vu,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:29:38,716377074030747649,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/MeNLeg7Yef,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:29:18,716376988072742914,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/chMKaQLwbb,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:28:57,716376903091896320,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/S9rG8YSXe5,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:28:38,716376819490902016,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/E4RJT2WYxh,False,
Garbageman Fss,GarbagemanFss,33731,0,1970,1930,821742872,False,"Roseville, MI",2016-04-02 21:28:23,716376758589779968,#realDonaldTrump #CNN #foxnews #pa #Trump #NY #wipolitics #wiprimary #Election2016 #wisconsin #NRA #usa #gop https//tco/MgG8CmuwDg,False,
